Processing Time:13.9999389648 msec.
Total number of birth registered in a year:
+----+----------+
|year|sum(COUNT)|
+----+----------+
|1880|201484    |
|1881|192699    |
|1882|221538    |
|1883|216950    |
|1884|243467    |
|1885|240855    |
|1886|255319    |
|1887|247396    |
|1888|299480    |
|1889|288950    |
|1890|301402    |
|1891|286678    |
|1892|334383    |
|1893|325223    |
|1894|338694    |
|1895|351028    |
|1896|357490    |
|1897|346960    |
|1898|381463    |
|1899|339235    |
|1900|450327    |
|1901|345819    |
|1902|386736    |
|1903|381207    |
|1904|403496    |
|1905|423948    |
|1906|428462    |
|1907|465399    |
|1908|488657    |
|1909|511227    |
|1910|590719    |
|1911|644267    |
|1912|988048    |
|1913|1137075   |
|1914|1416310   |
|1915|1832477   |
|1916|1934422   |
|1917|2006791   |
|1918|2171184   |
|1919|2110294   |
|1920|2262746   |
|1921|2334456   |
|1922|2289206   |
|1923|2302498   |
|1924|2381627   |
|1925|2333310   |
|1926|2295809   |
|1927|2319047   |
|1928|2260635   |
|1929|2191735   |
|1930|2222937   |
|1931|2103624   |
|1932|2110802   |
|1933|1998837   |
|1934|2076330   |
|1935|2089358   |
|1936|2077176   |
|1937|2130181   |
|1938|2212118   |
|1939|2203062   |
|1940|2302225   |
|1941|2435860   |
|1942|2731319   |
|1943|2821928   |
|1944|2689659   |
|1945|2652638   |
|1946|3194834   |
|1947|3601867   |
|1948|3452283   |
|1949|3484550   |
|1950|3503853   |
|1951|3681122   |
|1952|3798975   |
|1953|3850103   |
|1954|3979056   |
|1955|4012582   |
|1956|4121206   |
|1957|4200026   |
|1958|4131596   |
|1959|4156553   |
|1960|4154810   |
|1961|4139818   |
|1962|4035493   |
|1963|3958972   |
|1964|3887864   |
|1965|3626379   |
|1966|3475832   |
|1967|3395291   |
|1968|3379031   |
|1969|3476679   |
|1970|3607741   |
|1971|3432676   |
|1972|3143851   |
|1973|3017477   |
|1974|3040518   |
|1975|3019906   |
|1976|3035000   |
|1977|3176681   |
|1978|3173908   |
|1979|3326998   |
|1980|3443809   |
|1981|3458372   |
|1982|3506648   |
|1983|3461793   |
|1984|3486803   |
|1985|3567068   |
|1986|3554828   |
|1987|3603553   |
|1988|3692441   |
|1989|3843104   |
|1990|3950252   |
|1991|3893897   |
|1992|3839692   |
|1993|3768776   |
|1994|3716231   |
|1995|3660759   |
|1996|3645627   |
|1997|3623928   |
|1998|3676165   |
|1999|3691441   |
|2000|3777007   |
|2001|3740300   |
|2002|3735021   |
|2003|3798793   |
|2004|3816939   |
|2005|3840220   |
|2006|3950840   |
|2007|3991547   |
|2008|3923523   |
|2009|3812228   |
|2010|3686589   |
|2011|3646730   |
|2012|3643336   |
|2013|3626802   |
|2014|3670151   |
+----+----------+
