Processing Time:15.0001049042 msec.
Total number of births registered in a year by gender:
+----+------+----------+
|year|gender|sum(count)|
+----+------+----------+
|1880|F     |90993     |
|1880|M     |110491    |
|1881|F     |91954     |
|1881|M     |100745    |
|1882|F     |107850    |
|1882|M     |113688    |
|1883|F     |112321    |
|1883|M     |104629    |
|1884|F     |129022    |
|1884|M     |114445    |
|1885|F     |133055    |
|1885|M     |107800    |
|1886|F     |144535    |
|1886|M     |110784    |
|1887|F     |145982    |
|1887|M     |101414    |
|1888|F     |178627    |
|1888|M     |120853    |
|1889|F     |178366    |
|1889|M     |110584    |
|1890|F     |190377    |
|1890|M     |111025    |
|1891|F     |185482    |
|1891|M     |101196    |
|1892|F     |212346    |
|1892|M     |122037    |
|1893|F     |212906    |
|1893|M     |112317    |
|1894|F     |222922    |
|1894|M     |115772    |
|1895|F     |233630    |
|1895|M     |117398    |
|1896|F     |237920    |
|1896|M     |119570    |
|1897|F     |234202    |
|1897|M     |112758    |
|1898|F     |258770    |
|1898|M     |122693    |
|1899|F     |233023    |
|1899|M     |106212    |
|1900|F     |299828    |
|1900|M     |150499    |
|1901|F     |239348    |
|1901|M     |106471    |
|1902|F     |264077    |
|1902|M     |122659    |
|1903|F     |261973    |
|1903|M     |119234    |
|1904|F     |275371    |
|1904|M     |128125    |
|1905|F     |291629    |
|1905|M     |132319    |
|1906|F     |295303    |
|1906|M     |133159    |
|1907|F     |318566    |
|1907|M     |146833    |
|1908|F     |334313    |
|1908|M     |154344    |
|1909|F     |347228    |
|1909|M     |163999    |
|1910|F     |396501    |
|1910|M     |194218    |
|1911|F     |418299    |
|1911|M     |225968    |
|1912|F     |558103    |
|1912|M     |429945    |
|1913|F     |624518    |
|1913|M     |512557    |
|1914|F     |761548    |
|1914|M     |654762    |
|1915|F     |983874    |
|1915|M     |848603    |
|1916|F     |1044323   |
|1916|M     |890099    |
|1917|F     |1081280   |
|1917|M     |925511    |
|1918|F     |1157647   |
|1918|M     |1013537   |
|1919|F     |1130145   |
|1919|M     |980149    |
|1920|F     |1198283   |
|1920|M     |1064463   |
|1921|F     |1232999   |
|1921|M     |1101457   |
|1922|F     |1200919   |
|1922|M     |1088287   |
|1923|F     |1206330   |
|1923|M     |1096168   |
|1924|F     |1248876   |
|1924|M     |1132751   |
|1925|F     |1217352   |
|1925|M     |1115958   |
|1926|F     |1185304   |
|1926|M     |1110505   |
|1927|F     |1192330   |
|1927|M     |1126717   |
|1928|F     |1153117   |
|1928|M     |1107518   |
|1929|F     |1116422   |
|1929|M     |1075313   |
|1930|F     |1125761   |
|1930|M     |1097176   |
|1931|F     |1064497   |
|1931|M     |1039127   |
|1932|F     |1066994   |
|1932|M     |1043808   |
|1933|F     |1007710   |
|1933|M     |991127    |
|1934|F     |1044039   |
|1934|M     |1032291   |
|1935|F     |1048428   |
|1935|M     |1040930   |
|1936|F     |1040202   |
|1936|M     |1036974   |
|1937|F     |1063872   |
|1937|M     |1066309   |
|1938|F     |1103277   |
|1938|M     |1108841   |
|1939|F     |1096518   |
|1939|M     |1106544   |
|1940|F     |1143325   |
|1940|M     |1158900   |
|1941|F     |1207919   |
|1941|M     |1227941   |
|1942|F     |1350545   |
|1942|M     |1380774   |
|1943|F     |1395082   |
|1943|M     |1426846   |
|1944|F     |1327104   |
|1944|M     |1362555   |
|1945|F     |1307028   |
|1945|M     |1345610   |
|1946|F     |1571184   |
|1946|M     |1623650   |
|1947|F     |1772644   |
|1947|M     |1829223   |
|1948|F     |1697814   |
|1948|M     |1754469   |
|1949|F     |1710825   |
|1949|M     |1773725   |
|1950|F     |1713180   |
|1950|M     |1790673   |
|1951|F     |1800042   |
|1951|M     |1881080   |
|1952|F     |1854698   |
|1952|M     |1944277   |
|1953|F     |1880326   |
|1953|M     |1969777   |
|1954|F     |1941682   |
|1954|M     |2037374   |
|1955|F     |1954664   |
|1955|M     |2057918   |
|1956|F     |2007512   |
|1956|M     |2113694   |
|1957|F     |2044160   |
|1957|M     |2155866   |
|1958|F     |2010884   |
|1958|M     |2120712   |
|1959|F     |2023044   |
|1959|M     |2133509   |
|1960|F     |2022093   |
|1960|M     |2132717   |
|1961|F     |2017316   |
|1961|M     |2122502   |
|1962|F     |1966548   |
|1962|M     |2068945   |
|1963|F     |1927217   |
|1963|M     |2031755   |
|1964|F     |1894594   |
|1964|M     |1993270   |
|1965|F     |1765001   |
|1965|M     |1861378   |
|1966|F     |1691868   |
|1966|M     |1783964   |
|1967|F     |1650764   |
|1967|M     |1744527   |
|1968|F     |1640103   |
|1968|M     |1738928   |
