Count of total records:970702
Processing Time:23.0000019073 msec.
Capture total injuries and incident count(sum of injuries and fatalities) grouped by Borough, year and month
+-------------+----+-----+----------------------------+
|BOROUGH      |year|month|All_Injuries_Incidents_Count|
+-------------+----+-----+----------------------------+
|null         |2017|1    |3465                        |
|MANHATTAN    |2017|1    |779                         |
|BROOKLYN     |2017|1    |1794                        |
|STATEN ISLAND|2017|1    |293                         |
|QUEENS       |2017|1    |1444                        |
|BRONX        |2017|1    |843                         |
|MANHATTAN    |2016|1    |986                         |
|BROOKLYN     |2016|1    |2060                        |
|QUEENS       |2016|1    |1506                        |
|null         |2016|1    |1934                        |
|BRONX        |2016|1    |798                         |
|STATEN ISLAND|2016|1    |164                         |
|MANHATTAN    |2016|10   |1102                        |
|null         |2016|10   |4613                        |
|STATEN ISLAND|2016|10   |288                         |
|BROOKLYN     |2016|10   |2202                        |
|BRONX        |2016|10   |977                         |
|QUEENS       |2016|10   |1936                        |
|STATEN ISLAND|2016|11   |342                         |
|BROOKLYN     |2016|11   |2189                        |
|BRONX        |2016|11   |985                         |
|null         |2016|11   |4264                        |
|QUEENS       |2016|11   |2044                        |
|MANHATTAN    |2016|11   |1014                        |
|QUEENS       |2016|12   |1860                        |
|MANHATTAN    |2016|12   |921                         |
|null         |2016|12   |4255                        |
|BRONX        |2016|12   |1005                        |
|BROOKLYN     |2016|12   |2148                        |
|STATEN ISLAND|2016|12   |237                         |
|null         |2016|2    |1688                        |
|MANHATTAN    |2016|2    |922                         |
|STATEN ISLAND|2016|2    |204                         |
|BROOKLYN     |2016|2    |1892                        |
|BRONX        |2016|2    |830                         |
|QUEENS       |2016|2    |1416                        |
|BROOKLYN     |2016|3    |2359                        |
|BRONX        |2016|3    |1017                        |
|null         |2016|3    |2617                        |
|MANHATTAN    |2016|3    |1182                        |
|STATEN ISLAND|2016|3    |218                         |
|QUEENS       |2016|3    |1953                        |
|BROOKLYN     |2016|4    |2682                        |
|STATEN ISLAND|2016|4    |243                         |
|MANHATTAN    |2016|4    |1279                        |
|BRONX        |2016|4    |1186                        |
|null         |2016|4    |2745                        |
|QUEENS       |2016|4    |2038                        |
|BROOKLYN     |2016|5    |2533                        |
|STATEN ISLAND|2016|5    |284                         |
|BRONX        |2016|5    |1175                        |
|MANHATTAN    |2016|5    |1197                        |
|null         |2016|5    |3739                        |
|QUEENS       |2016|5    |2226                        |
|BROOKLYN     |2016|6    |2103                        |
|BRONX        |2016|6    |952                         |
|STATEN ISLAND|2016|6    |272                         |
|null         |2016|6    |3862                        |
|MANHATTAN    |2016|6    |974                         |
|QUEENS       |2016|6    |1846                        |
|QUEENS       |2016|7    |2104                        |
|null         |2016|7    |4589                        |
|BROOKLYN     |2016|7    |2617                        |
|STATEN ISLAND|2016|7    |271                         |
|BRONX        |2016|7    |1193                        |
|MANHATTAN    |2016|7    |1063                        |
|BROOKLYN     |2016|8    |3430                        |
|STATEN ISLAND|2016|8    |348                         |
|null         |2016|8    |7048                        |
|MANHATTAN    |2016|8    |1574                        |
|QUEENS       |2016|8    |2798                        |
|BRONX        |2016|8    |1665                        |
|null         |2016|9    |5397                        |
|STATEN ISLAND|2016|9    |301                         |
|MANHATTAN    |2016|9    |1081                        |
|BRONX        |2016|9    |1373                        |
|QUEENS       |2016|9    |2229                        |
|BROOKLYN     |2016|9    |2659                        |
|STATEN ISLAND|2015|1    |230                         |
|BRONX        |2015|1    |808                         |
|BROOKLYN     |2015|1    |1898                        |
|null         |2015|1    |1786                        |
|QUEENS       |2015|1    |1450                        |
|MANHATTAN    |2015|1    |828                         |
|BRONX        |2015|10   |1084                        |
|null         |2015|10   |2538                        |
|BROOKLYN     |2015|10   |2440                        |
|STATEN ISLAND|2015|10   |268                         |
|QUEENS       |2015|10   |2064                        |
