Total distinct words:2580

	Word  Count
   thou     88
	thy     54
   thee     51
   thus     43
	one     42
  light     33
	yet     31
   hath     29
	may     28
 whence     23
 nature     23
   love     22
  whose     22
   well     22
   made     21
   doth     20
	god     20
  truth     20
   must     20
	 us     20
  first     19
	 ye     19
  world     19
   good     17
  heavn     17
  words     16
	een     16
  would     16
	see     16
  cause     16
   like     15
	man     15
  turnd     15
 virtue     14
 thence     14
  earth     14
   mind     14
  power     14
therefore     14
	eye     13
different     13
beatrice     13
  still     13
  forth     13
	saw     13
   upon     13
   life     13
 within     12
   part     12
 spirit     12
  shall     12
   mine     12
   less     12
   know     12
eternal     12
  hence     12
  great     12
   rest     12
  since     12
   eyes     12
	 th     11
	ill     11
  makes     11
 desire     11
  alone     11
	sun     11
 heaven     11
thought     10
   come     10
   true     10
  doubt     10
   make     10
   ever     10
   much     10
  needs     10
  voice     10
  began     10
   neer     10
   beam     10
   next     10
  sight     10
   fair     10
  might      9
  comes      9
   mark      9
celestial      9
	joy      9
  speak      9
	new      9
   deep      9
  flame      9
  spake      8
another      8
	let      8
 things      8
  round      8
 though      8
  realm      8
   wish      8
	art      8
	way      8
 mortal      8
  sweet      8
   soon      8
   tell      8
wouldst      8
   unto      8
 either      8
 behold      8
   back      8
justice      7
   bent      7
 bright      7
  human      7
   high      7
  never      7
	far      7
   long      7
   wont      7
   left      7
  point      7
erewhile      7
  seemd      7
  thine      7
 sphere      7
   soul      7
  beams      7
	ere      7
   view      7
  grace      7
 course      7
 mighty      7
   free      7
  every      7
wrought      7
   gave      7
   fell      6
 motion      6
 change      6
 church      6
   else      6
   fire      6
   work      6
   star      6
substance      6
   even      6
 return      6
 little      6
saintly      6
   wilt      6
   deem      6
gladness      6
 better      6
   many      6
spirits      6
  third      6
 thirst      6
straight      6
	vow      6
thoughts      6
   hand      6
  could      6
blessed      6
   said      6
   held      6
  aught      6
   near      6
   hour      6
   holy      6
   body      6
   look      6
 matter      6
   hear      6
  blest      5
  faith      5
   fail      5
brother      5
 beyond      5
 lights      5
  lofty      5
   born      5
   came      5
clearly      5
   land      5
   hold      5
   give      5
  seems      5
	day      5
 wonder      5
forthwith      5
  worth      5
   save      5
   form      5
  didst      5
 shines      5
   hast      5
affection      5
   time      5
 height      5
 toward      5
	ray      5
following      5
returnd      5
intellectual      5
 intent      5
   fixd      5
  clear      5
without      5
reflected      5
	ken      5
	two      5
 reason      5
   kind      5
   lady      5
   dost      5
 primal      5
   last      5
  order      5
pleasure      5
	act      5
	orb      5
   wave      5
  stars      5
  place      5
   void      5
	end      5
  mayst      5
  years      5
   song      5
  sound      4
remains      4
  shown      4
  alike      4
already      4
   show      4
   suns      4
   name      4
   side      4
  stand      4
answerd      4
   move      4
   sign      4
circling      4
   turn      4
 shores      4
   movd      4
   keep      4
  state      4
  water      4
 divine      4
singing      4
   warm      4
   rare      4
   late      4
  drawn      4
   rise      4
henceforth      4
   food      4
  equal      4
	aid      4
 shadow      4
   gaze      4
	set      4
  shape      4
paradise      4
   pass      4
  death      4
   seed      4
 second      4
   dark      4
   orbs      4
	sea      4
  thing      4
 create      4
   none      4
  guide      4
 around      4
  three      4
  wings      4
  hands      4
  shine      4
throughout      4
  heard      4
 hearts      4
thyself      4
  force      4
   till      4
 sacred      4
  learn      4
radiance      4
   full      4
 prompt      4
	son      4
  bound      4
  steps      4
   pure      4
 smiles      4
violence      4
 bounty      4
vengeance      4
 strain      4
   step      4
	men      4
   face      4
   lies      4
 bodies      4
   veil      4
	 lo      4
 behind      4
  wrong      4
  means      4
	put      4
providence      4
question      4
shepherd      3
	ask      3
 arrivd      3
perfect      3
  proof      3
 marvel      3
failure      3
 wheels      3
  wheel      3
satisfaction      3
perchance      3
 proper      3
 stream      3
  happy      3
content      3
  heart      3
  hides      3
	hue      3
 merely      3
piccarda      3
   fond      3
supreme      3
 honour      3
assignd      3
   told      3
 higher      3
 nought      3
 worthy      3
  dwelt      3
   also      3
perplexd      3
  peril      3
	eer      3
 spring      3
sacrifice      3
 longer      3
  lookd      3
  court      3
	oer      3
  hadst      3
  broad      3
	woe      3
wherefore      3
   sole      3
  framd      3
 others      3
declare      3
   seen      3
  seest      3
   take      3
  enter      3
   deed      3
   glad      3
   path      3
passage      3
  taken      3
  prizd      3
  speed      3
  stood      3
delight      3
  maker      3
beneath      3
appears      3
   best      3
  shalt      3
  prime      3
 sparks      3
   gods      3
fountain      3
  crown      3
	old      3
whereof      3
hundred      3
splendour      3
	say      3
   lost      3
created      3
  sayst      3
creatures      3
  think      3
  pearl      3
  found      3
	aim      3
  among      3
gracious      3
  loves      3
 wholly      3
   seal      3
destind      3
goodness      3
	apt      3
 thanks      3
 towrds      3
disposd      3
 mother      3
   ways      3
lightning      3
possessd      3
 silent      3
breathes      3
  dense      3
   call      3
  falls      3
 angels      3
  fills      3
 sudden      3
distinctions      3
absolute      3
universe      3
   fall      3
  moves      3
  dwell      3
   calm      3
nearest      3
	bow      3
appeard      3
 wishes      3
  bears      3
   evil      3
 knowst      3
 unfold      3
  known      3
   done      3
 reader      3
 became      3
 unlike      3
   king      3
  along      3
   feet      3
charity      3
charles      3
 cannot      3
 remain      3
 caesar      3
  fault      3
  dread      3
  shows      3
  bosom      3
 admire      3
 beheld      3
   fain      3
effulgence      3
 follow      3
	met      3
 leaves      3
 lively      3
 source      3
discern      3
  right      3
directed      3
immediate      3
 dwells      3
  smild      3
 inform      3
beauteous      3
 flight      3
  ended      3
  placd      3
  cloud      3
 listen      3
triumph      3
intellect      3
 inward      3
  flesh      3
resolve      3
 beside      3
 sister      2
   shed      2
 shapes      2
favourd      2
 excess      2
   soar      2
   size      2
extinct      2
   four      2
  frame      2
 fourth      2
	six      2
  smile      2
  small      2
solution      2
   feel      2
 freely      2
   fear      2
  folly      2
exalted      2
  fails      2
	air      2
  error      2
   aimd      2
  fitly      2
  souls      2
 flames      2
   shun      2
  flood      2
flowing      2
   foot      2
   sons      2
   shot      2
   erst      2
  short      2
essence      2
   firm      2
	err      2
execute      2
  false      2
   sire      2
 single      2
somewhat      2
 sorely      2
  forms      2
 fierce      2
envying      2
 former      2
  formd      2
	sin      2
 sorrow      2
equally      2
smiling      2
 formal      2
 findst      2
  space      2
appearance      2
  fully      2
manifested      2
	lot      2
   loud      2
loveliness      2
	low      2
luminaries      2
proceeds      2
 lustre      2
addition      2
   mars      2
gabriel      2
precious      2
   pray      2
 praise      2
   maze      2
   mean      2
measure      2
possess      2
 memory      2
prompts      2
  lords      2
  looks      2
  prove      2
   laws      2
  raisd      2
   lead      2
 leader      2
  leads      2
  leave      2
   lest      2
liberty      2
	lie      2
 wreath      2
  limbs      2
  limit      2
pursued      2
 pursue      2
   livd      2
liveliest      2
 living      2
   mere      2
   pope      2
 yellow      2
   need      2
   nigh      2
  ocean      2
offence      2
offspring      2
	oft      2
	 oh      2
   zeal      2
   open      2
  opend      2
opinion      2
 opposd      2
  peace      2
	pay      2
original      2
  ounce      2
  passd      2
   paid      2
neglected      2
 naught      2
mingled      2
piteous      2
ministry      2
mirrors      2
  mirth      2
   miss      2
 please      2
mortals      2
  mount      2
mountains      2
 plants      2
 mournd      2
  plant      2
multiplied      2
murkier      2
   muse      2
  plain      2
   namd      2
accepts      2
  raise      2
  laves      2
	ran      2
grievous      2
satisfy      2
hallowd      2
  haply      2
   hard      2
harmony      2
heavens      2
   rule      2
   hill      2
 hither      2
   rome      2
hosanna      2
   roll      2
   roam      2
rightly      2
impelld      2
  rhone      2
impression      2
 guides      2
   grew      2
revolving      2
  scapd      2
service      2
seraphim      2
  sends      2
  given      2
   givn      2
 seldom      2
  glass      2
glorious      2
  glory      2
   seek      2
 agrees      2
 worlds      2
   seat      2
 search      2
  gracd      2
  worse      2
greater      2
impulse      2
increase      2
largely      2
   jove      2
judgment      2
 justly      2
receivd      2
  kennd      2
	key      2
kindness      2
kingdom      2
  knits      2
knowledge      2
  knows      2
   lack      2
  reach      2
   laid      2
   lake      2
   lamb      2
  lambs      2
 rarity      2
 joyous      2
journey      2
reverence      2
  joins      2
returns      2
   sped      2
influence      2
  rests      2
restord      2
resplendence      2
resemble      2
inspird      2
replied      2
 renown      2
intention      2
 render      2
 removd      2
inwardly      2
 remote      2
 region      2
  joind      2
 entire      2
   sing      2
  deemd      2
	wax      2
suddenly      2
distant      2
  times      2
sufferd      2
  deeds      2
 untold      2
   bond      2
	web      2
believe      2
  upper      2
translucent      2
deeming      2
   wear      2
   suit      2
dismantled      2
 temper      2
 suited      2
thousand      2
 upward      2
 summit      2
conceald      2
distinct      2
  brows      2
augmented      2
contemplate      2
   bend      2
treasure      2
downwards      2
 tenour      2
   vale      2
 assurd      2
 strong      2
 assure      2
   door      2
declares      2
  brute      2
   doom      2
   vast      2
compact      2
burning      2
   vows      2
temples      2
 weight      2
divides      2
diversely      2
   waxd      2
believd      2
daughter      2
   bare      2
 vanity      2
desires      2
towards      2
answring      2
torrent      2
beautiful      2
together      2
warfare      2
descend      2
   vain      2
 breast      2
   talk      2
 tasted      2
depravd      2
consider      2
   wait      2
   took      2
 befall      2
tardiness      2
   want      2
demands      2
  tracd      2
bearing      2
sweetness      2
   bars      2
   bark      2
discordant      2
discernd      2
 belief      2
 direct      2
  watch      2
 supply      2
brightness      2
digested      2
brighter      2
   bear      2
conceivd      2
   wise      2
behooves      2
  brief      2
  beamd      2
constance      2
beaming      2
suspense      2
beholdst      2
vehement      2
tidings      2
contradict      2
 vessel      2
standard      2
 answer      2
approaching      2
   wide      2
elsewhere      2
 apollo      2
  whole      2
whither      2
  trust      2
 eighth      2
  cried      2
  white      2
  stern      2
 almost      2
betwixt      2
  blood      2
argument      2
  truly      2
 visage      2
 changd      2
  cross      2
 virgin      2
  store      2
circuit      2
   word      2
turning      2
 coverd      2
christs      2
 circle      2
countenance      2
	tho      2
circles      2
 choose      2
 spouse      2
 endowd      2
thither      2
springs      2
 sprung      2
 engagd      2
  wills      2
  blast      2
  twixt      2
  chief      2
   city      2
thrones      2
corruption      2
   arms      2
   dull      2
  dance      2
universal      2
 whenas      2
unknown      2
 aspect      2
  thank      2
   dusk      2
   dumb      2
   care      2
   cord      2
   west      2
 driven      2
   dart      2
   cold      2
  bliss      2
  ample      2
capable      2
   drew      2
 unmovd      2
contrary      2
   dame      2
 unjust      2
wondrous      2
bespake      2
whatever      2
 chancd      2
  eagle      2
   arts      2
 chance      2
thereafter      2
  close      2
  veild      2
   askd      2
thereat      2
  clime      2
proportiond      1
valorous      1
promise      1
  prune      1
vatican      1
	van      1
proportion      1
	var      1
propose      1
  vapry      1
 victim      1
variously      1
  verde      1
vicious      1
vanishd      1
vestige      1
 vicena      1
  pupil      1
provencals      1
vesture      1
provide      1
 vapour      1
punishd      1
  proud      1
various      1
vapours      1
ptolemy      1
 valley      1
  quire      1
 vainly      1
  ready      1
 undone      1
  wreak      1
unerring      1
unfolds      1
 reachd      1
unfruitful      1
 united      1
   rays      1
raymond      1
  unity      1
 unless      1
ravenna      1
unlocks      1
 rather      1
   rash      1
unmoving      1
   rapt      1
reading      1
understood      1
  rapid      1
uncontrollable      1
  turns      1
  recks      1
 tuscan      1
reckoning      1
 recess      1
receives      1
 twelve      1
  twice      1
recalld      1
 rebukd      1
reasoning      1
typhaeus      1
 unborn      1
unbroken      1
  rears      1
unclosd      1
unconditional      1
unquenchd      1
unreleasd      1
 quaint      1
upwards      1
quintius      1
  quiet      1
quickly      1
   urge      1
questions      1
  wrest      1
questioning      1
 wished      1
  using      1
uttrance      1
vacancy      1
 quench      1
 quelld      1
  queen      1
 quatre      1
  quake      1
quaintly      1
   urgd      1
upsteamd      1
   rank      1
quirinus      1
  range      1
 random      1
unreplying      1
 raised      1
unripend      1
unsheathd      1
unsound      1
   rain      1
unswathd      1
unswervingly      1
  rahab      1
   race      1
 quiver      1
quitted      1
  quite      1
upholds      1
   quit      1
wrongfulness      1
 speech      1
victorious      1
perforce      1
welldisposed      1
  phial      1
 phases      1
pharsalia      1
 peters      1
  peter      1
wellpleasd      1
perverted      1
perversely      1
pervades      1
   went      1
perugias      1
 person      1
perplexity      1
perpetual      1
permits      1
 perish      1
   wert      1
performd      1
  young      1
phrasemen      1
  piava      1
weighty      1
weepeth      1
weetless      1
  weets      1
   pity      1
pitiless      1
 weighd      1
 weighs      1
pilgrim      1
   pild      1
welldeservd      1
pierian      1
pierces      1
   wins      1
   yore      1
 youand      1
  welld      1
 pierce      1
 piercd      1
perform      1
perfectness      1
 weaves      1
perfection      1
  paths      1
   wild      1
pastime      1
passeth      1
 passes      1
passages      1
	win      1
   wind      1
partyzeal      1
   wine      1
  parts      1
parting      1
particular      1
partial      1
 parted      1
partaking      1
partakes      1
partake      1
   wing      1
wielded      1
patience      1
  widow      1
wherein      1
perfected      1
 wheeld      1
perception      1
perceptible      1
perceivd      1
 people      1
pennons      1
whereat      1
penalty      1
 widest      1
wherewith      1
	pen      1
whether      1
pelorus      1
whisperd      1
   peer      1
